id,version,side,win,ban1,ban2,ban3,ban4,ban5,champion1,champion2,champion3,champion4,champion5,tower_kills,inhibitor_kills ,dragon_kills,rift_herald_kills,baron_kills,first_tower,first_inhibitor,first_dragon,first_rift_herald,first_baron
3320842571,10.5.312.392,Side.blue,False,Amumu,Evelynn,Diana,Shyvana,Ornn,Master Yi,Morgana,Yasuo,Kai'Sa,Renekton,2,0,2,1,0,True,False,True,True,False
3320842571,10.5.312.392,Side.red,True,Blitzcrank,Darius,NONE,Yuumi,Diana,Camille,Wukong,Sylas,Jhin,Bard,8,1,2,1,1,False,True,False,False,True
3320842565,10.5.312.392,Side.blue,False,Master Yi,Yasuo,Ornn,Darius,Kha'Zix,Yorick,Veigar,Yuumi,Vel'Koz,Nunu & Willump,2,0,1,1,0,False,False,False,False,False
3320842565,10.5.312.392,Side.red,True,Diana,Darius,Master Yi,Morgana,Aphelios,Swain,Mordekaiser,Lee Sin,Lux,Jinx,8,3,3,1,1,True,True,True,True,True
3320842551,10.5.312.392,Side.blue,False,Rek'Sai,Swain,Yuumi,Sett,Illaoi,Zyra,Ezreal,Alistar,Evelynn,Lucian,0,0,0,0,0,False,False,False,False,False
3320842551,10.5.312.392,Side.red,True,Morgana,Dr. Mundo,Garen,Pyke,Fizz,Ekko,Leona,Vladimir,Talon,Miss Fortune,0,0,0,0,0,False,False,False,False,False
3320842547,10.5.312.392,Side.blue,False,Elise,Mordekaiser,Jax,Fizz,Leona,Zyra,Jhin,Master Yi,Kai'Sa,Nasus,2,0,2,0,0,False,False,False,False,False
3320842547,10.5.312.392,Side.red,True,Nautilus,Zoe,Aphelios,Tryndamere,Ekko,Kled,Heimerdinger,Gragas,Senna,Olaf,11,5,2,2,1,True,True,True,True,True
3320842541,10.5.312.392,Side.blue,True,Ekko,Darius,Aphelios,Diana,Evelynn,Xerath,Aatrox,Illaoi,Pyke,Ashe,3,0,2,1,0,True,False,True,True,False
3320842541,10.5.312.392,Side.red,False,Sett,Lulu,Katarina,Amumu,Darius,Garen,Yasuo,Lee Sin,Braum,Senna,0,0,0,0,0,False,False,False,False,False
